,Peak_Amplitude_[pA],group,cell_ID,extras_path
0,-27.3509807586669,control,C1_Cell1,control\C1_Cell1.xlsx
1,-20.4394168853759,control,C1_Cell1,control\C1_Cell1.xlsx
2,-23.0475540161132,control,C1_Cell1,control\C1_Cell1.xlsx
3,-14.4061412811279,control,C1_Cell1,control\C1_Cell1.xlsx
4,-14.9634885787963,control,C1_Cell1,control\C1_Cell1.xlsx
5,-20.7217769622802,control,C1_Cell1,control\C1_Cell1.xlsx
6,-36.4589576721191,control,C1_Cell1,control\C1_Cell1.xlsx
7,-58.3097496032714,control,C1_Cell1,control\C1_Cell1.xlsx
8,-49.8694343566894,control,C1_Cell1,control\C1_Cell1.xlsx
9,-18.6127758026123,control,C1_Cell1,control\C1_Cell1.xlsx
10,-31.9262332916259,control,C1_Cell1,control\C1_Cell1.xlsx
11,-30.9779434204101,control,C1_Cell1,control\C1_Cell1.xlsx
12,-46.6160583496093,control,C1_Cell1,control\C1_Cell1.xlsx
13,-13.9155721664428,control,C1_Cell1,control\C1_Cell1.xlsx
14,-32.1513061523437,control,C1_Cell1,control\C1_Cell1.xlsx
15,-21.4945888519287,control,C1_Cell1,control\C1_Cell1.xlsx
17,-40.0654067993164,control,C1_Cell1,control\C1_Cell1.xlsx
18,-20.525728225708,control,C1_Cell1,control\C1_Cell1.xlsx
19,-14.2532215118408,control,C1_Cell1,control\C1_Cell1.xlsx
20,-24.7638320922851,control,C1_Cell1,control\C1_Cell1.xlsx
21,-32.5125007629394,control,C1_Cell1,control\C1_Cell1.xlsx
22,-22.7774028778076,control,C1_Cell1,control\C1_Cell1.xlsx
23,-18.2272853851318,control,C1_Cell1,control\C1_Cell1.xlsx
24,-56.8370666503906,control,C1_Cell1,control\C1_Cell1.xlsx
25,-18.3092517852783,control,C1_Cell1,control\C1_Cell1.xlsx
26,-20.1883850097656,control,C1_Cell1,control\C1_Cell1.xlsx
27,-15.2440185546875,control,C1_Cell1,control\C1_Cell1.xlsx
28,-17.6684741973876,control,C1_Cell1,control\C1_Cell1.xlsx
29,-28.8550949096679,control,C1_Cell1,control\C1_Cell1.xlsx
30,-42.0229873657226,control,C1_Cell1,control\C1_Cell1.xlsx
31,-17.8955974578857,control,C1_Cell1,control\C1_Cell1.xlsx
32,-25.9913177490234,control,C1_Cell1,control\C1_Cell1.xlsx
33,-19.3791484832763,control,C1_Cell1,control\C1_Cell1.xlsx
34,-24.2318000793457,control,C1_Cell1,control\C1_Cell1.xlsx
35,-21.7073459625244,control,C1_Cell1,control\C1_Cell1.xlsx
36,-21.1381359100341,control,C1_Cell1,control\C1_Cell1.xlsx
37,-33.9212608337402,control,C1_Cell1,control\C1_Cell1.xlsx
38,-58.1348648071289,control,C1_Cell1,control\C1_Cell1.xlsx
39,-15.7640237808227,control,C1_Cell1,control\C1_Cell1.xlsx
40,-12.9020633697509,control,C1_Cell1,control\C1_Cell1.xlsx
41,-61.0885772705078,control,C1_Cell1,control\C1_Cell1.xlsx
42,-57.260643005371,control,C1_Cell1,control\C1_Cell1.xlsx
43,-22.2976303100585,control,C1_Cell1,control\C1_Cell1.xlsx
44,-22.4469375610351,control,C1_Cell1,control\C1_Cell1.xlsx
45,-25.4105987548828,control,C1_Cell1,control\C1_Cell1.xlsx
46,-17.84614944458,control,C1_Cell1,control\C1_Cell1.xlsx
47,-93.9471435546875,control,C1_Cell1,control\C1_Cell1.xlsx
48,-25.6428432464599,control,C1_Cell1,control\C1_Cell1.xlsx
49,-17.2572860717773,control,C1_Cell1,control\C1_Cell1.xlsx
50,-34.7881088256835,control,C1_Cell1,control\C1_Cell1.xlsx
51,-18.4931373596191,control,C1_Cell1,control\C1_Cell1.xlsx
52,-32.3025970458984,control,C1_Cell1,control\C1_Cell1.xlsx
53,-44.6057319641113,control,C1_Cell1,control\C1_Cell1.xlsx
54,-20.2312545776367,control,C1_Cell1,control\C1_Cell1.xlsx
55,-21.8110523223876,control,C1_Cell1,control\C1_Cell1.xlsx
56,-26.0433139801025,control,C1_Cell1,control\C1_Cell1.xlsx
57,-40.3293800354003,control,C1_Cell1,control\C1_Cell1.xlsx
58,-39.8136825561523,control,C1_Cell1,control\C1_Cell1.xlsx
59,-25.5939979553222,control,C1_Cell1,control\C1_Cell1.xlsx
60,-20.4134826660156,control,C1_Cell1,control\C1_Cell1.xlsx
61,-25.8614387512207,control,C1_Cell1,control\C1_Cell1.xlsx
62,-29.1339397430419,control,C1_Cell1,control\C1_Cell1.xlsx
63,-34.2711105346679,control,C1_Cell1,control\C1_Cell1.xlsx
64,-17.0835285186767,control,C1_Cell1,control\C1_Cell1.xlsx
65,-15.4524803161621,control,C1_Cell1,control\C1_Cell1.xlsx
67,-19.6798706054687,control,C1_Cell1,control\C1_Cell1.xlsx
68,-15.7459373474121,control,C1_Cell1,control\C1_Cell1.xlsx
69,-29.2498207092285,control,C1_Cell1,control\C1_Cell1.xlsx
70,-25.0852375030517,control,C1_Cell1,control\C1_Cell1.xlsx
71,-19.2951068878173,control,C1_Cell1,control\C1_Cell1.xlsx
72,-15.2525672912597,control,C1_Cell1,control\C1_Cell1.xlsx
73,-18.6485290527343,control,C1_Cell1,control\C1_Cell1.xlsx
74,-30.2003078460693,control,C1_Cell1,control\C1_Cell1.xlsx
75,-17.3674011230468,control,C1_Cell1,control\C1_Cell1.xlsx
76,-23.996561050415,control,C1_Cell1,control\C1_Cell1.xlsx
77,-59.3453330993652,control,C1_Cell1,control\C1_Cell1.xlsx
78,-29.4862613677978,control,C1_Cell1,control\C1_Cell1.xlsx
79,-21.9362506866455,control,C1_Cell1,control\C1_Cell1.xlsx
80,-17.6035995483398,control,C1_Cell1,control\C1_Cell1.xlsx
81,-26.942434310913,control,C1_Cell1,control\C1_Cell1.xlsx
