,Area_[pA*ms],group,cell_ID,extras_path
0,-103.601516723632,control,C1_Cell1,control\C1_Cell1.xlsx
1,-57.8285751342773,control,C1_Cell1,control\C1_Cell1.xlsx
2,-87.9023361206054,control,C1_Cell1,control\C1_Cell1.xlsx
3,-30.7750396728515,control,C1_Cell1,control\C1_Cell1.xlsx
4,-45.1239166259765,control,C1_Cell1,control\C1_Cell1.xlsx
5,-46.7595138549804,control,C1_Cell1,control\C1_Cell1.xlsx
6,-94.1146850585937,control,C1_Cell1,control\C1_Cell1.xlsx
7,-215.251358032226,control,C1_Cell1,control\C1_Cell1.xlsx
8,-161.519500732421,control,C1_Cell1,control\C1_Cell1.xlsx
9,-67.7092056274414,control,C1_Cell1,control\C1_Cell1.xlsx
10,-109.433532714843,control,C1_Cell1,control\C1_Cell1.xlsx
11,-129.972549438476,control,C1_Cell1,control\C1_Cell1.xlsx
12,-177.43455505371,control,C1_Cell1,control\C1_Cell1.xlsx
13,-59.6894721984863,control,C1_Cell1,control\C1_Cell1.xlsx
14,-146.247909545898,control,C1_Cell1,control\C1_Cell1.xlsx
15,-43.7520141601562,control,C1_Cell1,control\C1_Cell1.xlsx
17,-142.411895751953,control,C1_Cell1,control\C1_Cell1.xlsx
18,-82.0494079589843,control,C1_Cell1,control\C1_Cell1.xlsx
19,-43.7153053283691,control,C1_Cell1,control\C1_Cell1.xlsx
20,-80.8471527099609,control,C1_Cell1,control\C1_Cell1.xlsx
21,-160.210311889648,control,C1_Cell1,control\C1_Cell1.xlsx
22,-91.7402038574218,control,C1_Cell1,control\C1_Cell1.xlsx
23,-49.0062026977539,control,C1_Cell1,control\C1_Cell1.xlsx
24,-218.046310424804,control,C1_Cell1,control\C1_Cell1.xlsx
25,-51.5443420410156,control,C1_Cell1,control\C1_Cell1.xlsx
26,-72.8472137451171,control,C1_Cell1,control\C1_Cell1.xlsx
27,-40.8308143615722,control,C1_Cell1,control\C1_Cell1.xlsx
28,-56.7080993652343,control,C1_Cell1,control\C1_Cell1.xlsx
29,-72.2308654785156,control,C1_Cell1,control\C1_Cell1.xlsx
30,-195.682220458984,control,C1_Cell1,control\C1_Cell1.xlsx
31,-78.7172698974609,control,C1_Cell1,control\C1_Cell1.xlsx
32,-89.8413467407226,control,C1_Cell1,control\C1_Cell1.xlsx
33,-61.6333808898925,control,C1_Cell1,control\C1_Cell1.xlsx
34,-72.5689849853515,control,C1_Cell1,control\C1_Cell1.xlsx
35,-82.9343566894531,control,C1_Cell1,control\C1_Cell1.xlsx
36,-119.414237976074,control,C1_Cell1,control\C1_Cell1.xlsx
37,-145.916870117187,control,C1_Cell1,control\C1_Cell1.xlsx
38,-319.555053710937,control,C1_Cell1,control\C1_Cell1.xlsx
39,-56.9739379882812,control,C1_Cell1,control\C1_Cell1.xlsx
40,-54.5861625671386,control,C1_Cell1,control\C1_Cell1.xlsx
41,-198.774169921875,control,C1_Cell1,control\C1_Cell1.xlsx
42,-231.405700683593,control,C1_Cell1,control\C1_Cell1.xlsx
43,-75.8572616577148,control,C1_Cell1,control\C1_Cell1.xlsx
44,-62.4112167358398,control,C1_Cell1,control\C1_Cell1.xlsx
45,-57.8172988891601,control,C1_Cell1,control\C1_Cell1.xlsx
46,-45.1330299377441,control,C1_Cell1,control\C1_Cell1.xlsx
47,-386.834747314453,control,C1_Cell1,control\C1_Cell1.xlsx
48,-98.8678283691406,control,C1_Cell1,control\C1_Cell1.xlsx
49,-54.3017616271972,control,C1_Cell1,control\C1_Cell1.xlsx
50,-172.168060302734,control,C1_Cell1,control\C1_Cell1.xlsx
51,-69.6087799072265,control,C1_Cell1,control\C1_Cell1.xlsx
52,-172.634033203125,control,C1_Cell1,control\C1_Cell1.xlsx
53,-145.150588989257,control,C1_Cell1,control\C1_Cell1.xlsx
54,-91.1933898925781,control,C1_Cell1,control\C1_Cell1.xlsx
55,-91.5976028442382,control,C1_Cell1,control\C1_Cell1.xlsx
56,-57.836986541748,control,C1_Cell1,control\C1_Cell1.xlsx
57,-140.229141235351,control,C1_Cell1,control\C1_Cell1.xlsx
58,-142.938491821289,control,C1_Cell1,control\C1_Cell1.xlsx
59,-88.1710968017578,control,C1_Cell1,control\C1_Cell1.xlsx
60,-94.1202545166015,control,C1_Cell1,control\C1_Cell1.xlsx
61,-96.5469665527343,control,C1_Cell1,control\C1_Cell1.xlsx
62,-91.5974502563476,control,C1_Cell1,control\C1_Cell1.xlsx
63,-100.884521484375,control,C1_Cell1,control\C1_Cell1.xlsx
64,-46.5888595581054,control,C1_Cell1,control\C1_Cell1.xlsx
65,-39.808536529541,control,C1_Cell1,control\C1_Cell1.xlsx
67,-53.6169090270996,control,C1_Cell1,control\C1_Cell1.xlsx
68,-51.8458709716796,control,C1_Cell1,control\C1_Cell1.xlsx
69,-145.410690307617,control,C1_Cell1,control\C1_Cell1.xlsx
70,-104.162895202636,control,C1_Cell1,control\C1_Cell1.xlsx
71,-50.8939208984375,control,C1_Cell1,control\C1_Cell1.xlsx
72,-53.5097732543945,control,C1_Cell1,control\C1_Cell1.xlsx
73,-42.8846778869628,control,C1_Cell1,control\C1_Cell1.xlsx
74,-103.529487609863,control,C1_Cell1,control\C1_Cell1.xlsx
75,-55.6916427612304,control,C1_Cell1,control\C1_Cell1.xlsx
76,-59.8651962280273,control,C1_Cell1,control\C1_Cell1.xlsx
77,-314.973846435546,control,C1_Cell1,control\C1_Cell1.xlsx
78,-90.9421463012695,control,C1_Cell1,control\C1_Cell1.xlsx
79,-69.0272903442382,control,C1_Cell1,control\C1_Cell1.xlsx
80,-54.6808242797851,control,C1_Cell1,control\C1_Cell1.xlsx
81,-85.2052154541015,control,C1_Cell1,control\C1_Cell1.xlsx
82,-123.010910034179,control,C1_Cell1,control\C1_Cell1.xlsx
83,-160.30859375,control,C1_Cell1,control\C1_Cell1.xlsx
84,-78.9525604248046,control,C1_Cell1,control\C1_Cell1.xlsx
85,-230.02293395996,control,C1_Cell1,control\C1_Cell1.xlsx
86,-47.4562911987304,control,C1_Cell1,control\C1_Cell1.xlsx
