,Interevent-Interval_[ms],group,cell_ID,extras_path
1,2869.80004882812,control,C1_Cell1,control\C1_Cell1.xlsx
2,1596.70031738281,control,C1_Cell1,control\C1_Cell1.xlsx
3,319.099517822265,control,C1_Cell1,control\C1_Cell1.xlsx
4,1871.90063476562,control,C1_Cell1,control\C1_Cell1.xlsx
5,1243.7998046875,control,C1_Cell1,control\C1_Cell1.xlsx
6,587.799743652343,control,C1_Cell1,control\C1_Cell1.xlsx
7,1585.900390625,control,C1_Cell1,control\C1_Cell1.xlsx
8,29.5995044708251,control,C1_Cell1,control\C1_Cell1.xlsx
9,545.5,control,C1_Cell1,control\C1_Cell1.xlsx
10,149.100784301757,control,C1_Cell1,control\C1_Cell1.xlsx
11,414.198913574218,control,C1_Cell1,control\C1_Cell1.xlsx
12,256.400512695312,control,C1_Cell1,control\C1_Cell1.xlsx
13,331.999877929687,control,C1_Cell1,control\C1_Cell1.xlsx
14,697.400512695312,control,C1_Cell1,control\C1_Cell1.xlsx
15,1223.79968261718,control,C1_Cell1,control\C1_Cell1.xlsx
17,1433.79968261718,control,C1_Cell1,control\C1_Cell1.xlsx
18,3495.599609375,control,C1_Cell1,control\C1_Cell1.xlsx
19,294.701293945312,control,C1_Cell1,control\C1_Cell1.xlsx
20,742.798706054687,control,C1_Cell1,control\C1_Cell1.xlsx
21,1154.09973144531,control,C1_Cell1,control\C1_Cell1.xlsx
22,3322.30078125,control,C1_Cell1,control\C1_Cell1.xlsx
23,1399.69921875,control,C1_Cell1,control\C1_Cell1.xlsx
24,196.101455688476,control,C1_Cell1,control\C1_Cell1.xlsx
25,410.3984375,control,C1_Cell1,control\C1_Cell1.xlsx
26,1114.80065917968,control,C1_Cell1,control\C1_Cell1.xlsx
27,1398.09973144531,control,C1_Cell1,control\C1_Cell1.xlsx
28,400.000244140625,control,C1_Cell1,control\C1_Cell1.xlsx
29,202.0,control,C1_Cell1,control\C1_Cell1.xlsx
30,197.900390625,control,C1_Cell1,control\C1_Cell1.xlsx
31,367.900390625,control,C1_Cell1,control\C1_Cell1.xlsx
32,171.900177001953,control,C1_Cell1,control\C1_Cell1.xlsx
