,ave_area,sum_area,group,cell_ID
0,116.76922994898976,14356.513482886981,control,C1_Cell1
0,91.34786269244012,3052.1126915980803,control,C1_Cell2
0,78.77265859533225,12529.961576454301,control,C1_Cell3
0,67.56434570948272,5713.314308361101,control,C1_Cell4
0,80.66266630516665,9307.707556799804,control,C1_Cell5
0,94.60041115330696,18948.830579015343,control,C1_Cell6
0,99.76942559175694,4215.889164393198,control,C2_Cell10
0,111.5608078938608,11490.841896426873,control,C2_Cell11
0,71.47442451600094,4204.9131680981445,control,C2_Cell12
0,72.98498985984098,1578.561922305707,control,C2_Cell7
0,73.76815598586504,1694.4686251008104,control,C2_Cell8
0,95.89767379760721,3313.653127922802,control,C2_Cell9
0,62.13223061194779,1553.625702642909,control,C3_Cell14
0,66.98307061195369,1046.6113300462573,control,C3_Cell15
0,57.19262361526482,418.07505237389944,control,C4_Cell19
0,88.09719602638302,6003.569746389546,control,C4_Cell20
0,98.76173132116128,4311.944100025647,control,C4_Cell21
0,77.09747088685313,3703.1241760043686,control,C4_Cell22
0,79.68444668805148,2010.5802706909283,control,C4_Cell23
0,88.39853673299133,5962.707955107486,control,C4_Cell24
0,63.737094547437515,1420.9390108433868,control,C5_Cell25
0,80.63710850682736,2249.92112610863,control,C5_Cell26
0,94.1279684956867,6925.887605381607,control,C5_Cell27
0,59.4716326739336,2164.208926946387,control,C5_Cell28
0,61.55835526077829,3042.165278961856,control,C5_Cell29
0,67.36881395288404,2402.1973794278038,control,C5_Cell30
0,66.34240861372511,720.1648962714372,control,C6_Cell31
0,88.96321749687169,1385.433289890815,control,C6_Cell32
0,68.83902150934382,1488.2662278178268,control,C6_Cell33
0,89.67808221147929,11391.877480063346,control,C6_Cell34
0,74.53872358798972,2264.2400532373767,control,C6_Cell35
0,60.76160386029404,1621.5494446733755,control,C6_Cell36
0,72.15615982479514,2494.133902733457,control,C7_Cell37
0,61.91120447431289,1286.2788549951354,control,C7_Cell38
0,65.85896241664875,2082.388806245486,control,C7_Cell39
0,52.92038139930133,1316.2605356495035,control,C7_Cell40
0,79.41491115524097,12884.649306366397,control,C7_Cell41
0,109.41683856964093,4879.107800375654,control,C7_Cell42
0,107.48058665212957,27219.07719167112,stimulated,C1_Cell1
0,100.31342660081312,20190.542809661085,stimulated,C1_Cell2
0,81.58049956957481,10468.988232689788,stimulated,C1_Cell3
0,76.97132329095757,10809.049779146026,stimulated,C1_Cell4
0,91.12837346994635,28019.459809128228,stimulated,C1_Cell5
0,84.05560846941174,14553.43642054238,stimulated,C1_Cell6
0,100.9648598564994,12202.420367388386,stimulated,C2_Cell10
0,85.57684073287439,7027.877105490351,stimulated,C2_Cell11
0,173.5550688334871,91039.82089352311,stimulated,C2_Cell12
0,81.20424701856518,1076.0615886252017,stimulated,C2_Cell7
0,77.08118043122451,1981.233679431542,stimulated,C2_Cell8
0,89.97278621409184,7661.24476618192,stimulated,C2_Cell9
0,74.22358585411382,4899.356665050422,stimulated,C3_Cell13
0,87.8634671836062,2873.212817420075,stimulated,C3_Cell14
0,80.69305185686065,3674.1971958653294,stimulated,C3_Cell15
0,86.92594512467517,4281.212889662434,stimulated,C3_Cell16
0,92.05213753836482,4466.818260615911,stimulated,C3_Cell17
0,80.76802691135877,32131.317156920064,stimulated,C3_Cell18
0,90.88244361877425,4411.363763949704,stimulated,C4_Cell19
0,81.81133445739727,3056.191178147797,stimulated,C4_Cell20
0,85.34763398603947,3867.0829512862174,stimulated,C4_Cell21
0,130.59753982198342,30715.843142574187,stimulated,C4_Cell22
0,119.103861285794,10035.152440875538,stimulated,C4_Cell23
