,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
1129,21042022,W3C1,control,day4-h2,1,10088.0,-3053.0,-0.3026367961934972
1130,21042022,W3C1,control,day4-h2,2,3834.0,-561.0,-0.14632237871674492
1131,21042022,W3C1,control,day4-h2,3,3862.0,-1178.0,-0.3050233039875712
1132,21042022,W3C1,control,day4-h2,4,3098.0,-864.0,-0.2788896061975468
1133,21042022,W3C1,control,day4-h2,5,5963.0,736.0,0.1234278047962435
1134,21042022,W3C1,control,day4-h2,6,4750.0,-2273.0,-0.4785263157894737
1135,21042022,W3C1,control,day4-h2,7,4278.0,-622.0,-0.14539504441327722
1136,21042022,W3C1,control,day4-h2,8,11080.0,-5911.0,-0.5334837545126354
1137,21042022,W3C1,control,day4-h2,9,3448.0,-804.0,-0.23317865429234338
1138,21042022,W3C1,control,day4-h2,10,8052.0,-3995.0,-0.4961500248385494
1139,21042022,W3C1,control,day4-h2,11,3946.0,4217.0,1.0686771414090217
1140,21042022,W3C1,control,day4-h2,12,3402.0,-1116.0,-0.328042328042328
1141,21042022,W3C1,control,day4-h2,13,7428.0,3110.0,0.41868605277329024
1142,21042022,W3C1,control,day4-h2,14,7205.0,5397.0,0.7490631505898682
1143,21042022,W3C1,control,day4-h2,15,6526.0,2559.0,0.3921238124425375
1144,21042022,W3C1,control,day4-h2,16,4163.0,-1580.0,-0.3795339899111218
1145,21042022,W3C1,control,day4-h2,17,3812.0,-1254.0,-0.3289611752360965
1146,21042022,W3C1,control,day4-h2,18,1962.0,423.0,0.21559633027522937
1147,21042022,W3C1,control,day4-h2,19,6042.0,-2078.0,-0.343925852366766
1148,21042022,W3C1,control,day4-h2,20,9542.0,-5674.0,-0.5946342485852023
1149,21042022,W3C1,control,day4-h2,21,2518.0,-954.0,-0.37887212073073867
1150,21042022,W3C1,control,day4-h2,22,1885.0,2437.0,1.2928381962864721
1151,21042022,W3C1,control,day4-h2,23,2073.0,-103.0,-0.049686444766039554
1152,21042022,W3C1,control,day4-h2,24,2783.0,1716.0,0.616600790513834
1153,21042022,W3C1,control,day4-h2,25,1465.0,-32.0,-0.021843003412969283
1154,21042022,W3C1,control,day4-h2,26,4398.0,-2529.0,-0.5750341064120055
1155,21042022,W3C1,control,day4-h2,27,1804.0,1090.0,0.6042128603104213
1156,21042022,W3C1,control,day4-h2,28,1526.0,1939.0,1.2706422018348624
1157,21042022,W3C1,control,day4-h2,29,4605.0,1553.0,0.337242128121607
1158,21042022,W3C1,control,day4-h2,30,2207.0,3423.0,1.5509741730856366
1159,21042022,W3C1,control,day4-h2,31,7136.0,-3725.0,-0.5220011210762332
1160,21042022,W3C1,control,day4-h2,32,2597.0,-14.0,-0.005390835579514825
1161,21042022,W3C1,control,day4-h2,33,5326.0,-1045.0,-0.19620728501689824
1162,21042022,W3C1,control,day4-h2,34,3262.0,3220.0,0.9871244635193133
1163,21042022,W3C1,control,day4-h2,35,2791.0,-869.0,-0.31135793622357577
1164,21042022,W3C1,control,day4-h2,36,5381.0,-260.0,-0.04831815647649136
1165,21042022,W3C1,control,day4-h2,37,1648.0,488.0,0.2961165048543689
1166,21042022,W3C1,control,day4-h2,38,5565.0,2031.0,0.36495956873315366
1167,21042022,W3C1,control,day4-h2,39,2367.0,-289.0,-0.12209547950992818
1168,21042022,W3C1,control,day4-h2,40,2492.0,-189.0,-0.07584269662921349
1169,21042022,W3C1,control,day4-h2,41,4741.0,-2395.0,-0.5051676861421641
1550,21042022,W3C1,control,day4-h2,1,10496.0,-6341.0,-0.6041349085365854
1551,21042022,W3C1,control,day4-h2,2,3084.0,-1241.0,-0.4023994811932555
1552,21042022,W3C1,control,day4-h2,3,14730.0,-8579.0,-0.5824168363883232
1553,21042022,W3C1,control,day4-h2,4,6877.0,-4109.0,-0.5974989094081722
1554,21042022,W3C1,control,day4-h2,5,8589.0,-6385.0,-0.7433927116078706
1555,21042022,W3C1,control,day4-h2,6,11535.0,-7785.0,-0.6749024707412223
1556,21042022,W3C1,control,day4-h2,7,4166.0,-2114.0,-0.5074411905904945
1557,21042022,W3C1,control,day4-h2,8,8771.0,-7163.0,-0.816668566868088
1558,21042022,W3C1,control,day4-h2,9,20682.0,-13982.0,-0.6760468039841409
1559,21042022,W3C1,control,day4-h2,10,3928.0,-1032.0,-0.26272912423625255
1560,21042022,W3C1,control,day4-h2,11,3831.0,-2074.0,-0.5413730096580527
1561,21042022,W3C1,control,day4-h2,12,1518.0,179.0,0.11791831357048749
1562,21042022,W3C1,control,day4-h2,13,1081.0,837.0,0.7742830712303422
1563,21042022,W3C1,control,day4-h2,14,7037.0,11952.0,1.6984510444791814
1564,21042022,W3C1,control,day4-h2,15,10633.0,3712.0,0.34910185272265587
1565,21042022,W3C1,control,day4-h2,16,1872.0,628.0,0.33547008547008544
1566,21042022,W3C1,control,day4-h2,17,1524.0,278.0,0.18241469816272965
1567,21042022,W3C1,control,day4-h2,18,1718.0,293.0,0.17054714784633296
1568,21042022,W3C1,control,day4-h2,19,9876.0,-1026.0,-0.10388821385176185
