,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
150,7032022,W4C1,rMS,day4-h2,1,19671.0,-13723.0,-0.6976259468252758
151,7032022,W4C1,rMS,day4-h2,2,3862.0,1057.0,0.2736923873640601
152,7032022,W4C1,rMS,day4-h2,3,11581.0,-7809.0,-0.6742941024091184
153,7032022,W4C1,rMS,day4-h2,4,16658.0,2192.0,0.13158842598151038
154,7032022,W4C1,rMS,day4-h2,5,7790.0,5804.0,0.7450577663671374
155,7032022,W4C1,rMS,day4-h2,6,8308.0,-2040.0,-0.24554646124217622
156,7032022,W4C1,rMS,day4-h2,7,20699.0,-5999.0,-0.28982076428812986
157,7032022,W4C1,rMS,day4-h2,8,15310.0,-5856.0,-0.38249510124101893
158,7032022,W4C1,rMS,day4-h2,9,7373.0,1704.0,0.23111352231113522
159,7032022,W4C1,rMS,day4-h2,10,3074.0,6964.0,2.265452179570592
160,7032022,W4C1,rMS,day4-h2,11,1825.0,1327.0,0.7271232876712329
161,7032022,W4C1,rMS,day4-h2,12,11893.0,-9347.0,-0.7859244933994787
162,7032022,W4C1,rMS,day4-h2,13,17100.0,-5234.0,-0.30608187134502923
163,7032022,W4C1,rMS,day4-h2,14,3494.0,5214.0,1.4922724670864338
164,7032022,W4C1,rMS,day4-h2,15,12246.0,7088.0,0.5788012412216234
165,7032022,W4C1,rMS,day4-h2,16,26533.0,-7194.0,-0.271134059473109
166,7032022,W4C1,rMS,day4-h2,17,14588.0,-1552.0,-0.10638881272278586
167,7032022,W4C1,rMS,day4-h2,18,16449.0,-8588.0,-0.5220986078181045
168,7032022,W4C1,rMS,day4-h2,19,6991.0,9655.0,1.3810613646116436
169,7032022,W4C1,rMS,day4-h2,20,13404.0,2625.0,0.19583706356311548
170,7032022,W4C1,rMS,day4-h2,21,1609.0,7142.0,4.438781852082038
171,7032022,W4C1,rMS,day4-h2,22,12454.0,4124.0,0.33113859001124135
172,7032022,W4C1,rMS,day4-h2,23,23462.0,-15390.0,-0.6559543090955587
173,7032022,W4C1,rMS,day4-h2,24,11376.0,-301.0,-0.026459212376933897
174,7032022,W4C1,rMS,day4-h2,25,3607.0,7510.0,2.0820626559467703
175,7032022,W4C1,rMS,day4-h2,26,12838.0,-10914.0,-0.8501324193799658
176,7032022,W4C1,rMS,day4-h2,27,17326.0,20689.0,1.1941013505713955
177,7032022,W4C1,rMS,day4-h2,28,11617.0,6654.0,0.5727812688301627
178,7032022,W4C1,rMS,day4-h2,29,17740.0,19803.0,1.1162908680947012
179,7032022,W4C1,rMS,day4-h2,30,4396.0,-1384.0,-0.3148316651501365
600,7032022,W4C1,rMS,day4-h2,1,7062.0,5153.0,0.7296799773435287
601,7032022,W4C1,rMS,day4-h2,2,6236.0,9601.0,1.5396087235407312
602,7032022,W4C1,rMS,day4-h2,3,3482.0,3776.0,1.0844342331993106
603,7032022,W4C1,rMS,day4-h2,4,2300.0,1686.0,0.7330434782608696
604,7032022,W4C1,rMS,day4-h2,5,12096.0,-2628.0,-0.21726190476190477
605,7032022,W4C1,rMS,day4-h2,6,28850.0,-15762.0,-0.5463431542461005
606,7032022,W4C1,rMS,day4-h2,7,7475.0,-85.0,-0.01137123745819398
607,7032022,W4C1,rMS,day4-h2,8,6388.0,479.0,0.07498434564809017
608,7032022,W4C1,rMS,day4-h2,9,2873.0,5501.0,1.9147232857640097
609,7032022,W4C1,rMS,day4-h2,10,10815.0,1577.0,0.1458159963014332
610,7032022,W4C1,rMS,day4-h2,11,8392.0,1776.0,0.21163012392755004
611,7032022,W4C1,rMS,day4-h2,12,18609.0,-9423.0,-0.5063678865065291
612,7032022,W4C1,rMS,day4-h2,13,8579.0,5813.0,0.677584800093251
