,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
270,7032022,W4C1,rMS,day4,1,6072.0,13599.0,2.2396245059288535
271,7032022,W4C1,rMS,day4,2,2460.0,1402.0,0.5699186991869919
272,7032022,W4C1,rMS,day4,3,4530.0,7051.0,1.5565121412803533
273,7032022,W4C1,rMS,day4,4,13735.0,2923.0,0.21281397888605752
274,7032022,W4C1,rMS,day4,5,11275.0,-3485.0,-0.3090909090909091
275,7032022,W4C1,rMS,day4,6,8812.0,-504.0,-0.05719473445301861
276,7032022,W4C1,rMS,day4,7,21224.0,-525.0,-0.024736147757255935
277,7032022,W4C1,rMS,day4,8,35287.0,-19977.0,-0.5661291693824921
278,7032022,W4C1,rMS,day4,9,5166.0,2207.0,0.4272164150212931
279,7032022,W4C1,rMS,day4,10,3221.0,-147.0,-0.04563800062092518
280,7032022,W4C1,rMS,day4,11,2882.0,-1057.0,-0.3667591950034698
281,7032022,W4C1,rMS,day4,12,5117.0,6776.0,1.3242134062927498
282,7032022,W4C1,rMS,day4,13,5468.0,11632.0,2.127286027798098
283,7032022,W4C1,rMS,day4,14,7846.0,-4352.0,-0.5546775426969156
284,7032022,W4C1,rMS,day4,15,9575.0,2671.0,0.2789556135770235
285,7032022,W4C1,rMS,day4,16,3654.0,22879.0,6.2613574165298305
286,7032022,W4C1,rMS,day4,17,7821.0,6767.0,0.8652346247282956
287,7032022,W4C1,rMS,day4,18,4064.0,12385.0,3.047490157480315
288,7032022,W4C1,rMS,day4,19,2766.0,4225.0,1.527476500361533
289,7032022,W4C1,rMS,day4,20,8236.0,5168.0,0.6274890723652259
290,7032022,W4C1,rMS,day4,21,3976.0,-2367.0,-0.5953219315895373
291,7032022,W4C1,rMS,day4,22,12385.0,69.0,0.005571255551069842
292,7032022,W4C1,rMS,day4,23,9830.0,13632.0,1.3867751780264497
293,7032022,W4C1,rMS,day4,24,5377.0,5999.0,1.1156778872977497
294,7032022,W4C1,rMS,day4,25,6304.0,-2697.0,-0.4278236040609137
295,7032022,W4C1,rMS,day4,26,48761.0,-35923.0,-0.7367158179692788
296,7032022,W4C1,rMS,day4,27,18900.0,-1574.0,-0.08328042328042327
297,7032022,W4C1,rMS,day4,28,8131.0,3486.0,0.4287295535604477
298,7032022,W4C1,rMS,day4,29,19768.0,-2028.0,-0.10259004451639013
299,7032022,W4C1,rMS,day4,30,2781.0,1615.0,0.5807263574253866
816,7032022,W4C1,rMS,day4,1,2711.0,4351.0,1.6049428255256364
817,7032022,W4C1,rMS,day4,2,6956.0,-720.0,-0.10350776308223117
818,7032022,W4C1,rMS,day4,3,3928.0,-446.0,-0.11354378818737271
819,7032022,W4C1,rMS,day4,4,2716.0,-416.0,-0.15316642120765833
820,7032022,W4C1,rMS,day4,5,6676.0,5420.0,0.8118633912522468
821,7032022,W4C1,rMS,day4,6,25842.0,3008.0,0.11639965946908135
822,7032022,W4C1,rMS,day4,7,5545.0,1930.0,0.3480613165013526
823,7032022,W4C1,rMS,day4,8,15040.0,-8652.0,-0.5752659574468085
824,7032022,W4C1,rMS,day4,9,2439.0,434.0,0.17794177941779418
825,7032022,W4C1,rMS,day4,10,10353.0,462.0,0.04462474645030426
826,7032022,W4C1,rMS,day4,11,4959.0,3433.0,0.6922766686832023
827,7032022,W4C1,rMS,day4,12,10104.0,8505.0,0.8417458432304038
828,7032022,W4C1,rMS,day4,13,12910.0,-4331.0,-0.33547637490317583
829,7032022,W4C1,rMS,day4,14,8967.0,-4342.0,-0.4842199174751868
830,7032022,W4C1,rMS,day4,15,5404.0,-157.0,-0.029052553663952627
831,7032022,W4C1,rMS,day4,16,10888.0,-3391.0,-0.31144379132990446
832,7032022,W4C1,rMS,day4,17,6552.0,-2928.0,-0.4468864468864469
833,7032022,W4C1,rMS,day4,18,11098.0,791.0,0.07127410344206163
834,7032022,W4C1,rMS,day4,19,10806.0,-4337.0,-0.4013511012400518
835,7032022,W4C1,rMS,day4,20,7264.0,14063.0,1.9359856828193833
836,7032022,W4C1,rMS,day4,21,7807.0,-4042.0,-0.5177404893044704
837,7032022,W4C1,rMS,day4,22,5261.0,6491.0,1.2337958563010833
838,7032022,W4C1,rMS,day4,23,7543.0,12442.0,1.6494763356754607
