,batch,culture,group,time,spine_ID,RawIntDen,size_diff,size_diff_normed
270,7032022,W4C1,rMS,day4,1,6072.0,-124.0,-0.020421607378129116
271,7032022,W4C1,rMS,day4,2,2460.0,2459.0,0.9995934959349594
272,7032022,W4C1,rMS,day4,3,4530.0,-758.0,-0.1673289183222958
273,7032022,W4C1,rMS,day4,4,13735.0,5115.0,0.3724062613760466
274,7032022,W4C1,rMS,day4,5,11275.0,2319.0,0.20567627494456764
275,7032022,W4C1,rMS,day4,6,8812.0,-2544.0,-0.28869723104857015
276,7032022,W4C1,rMS,day4,7,21224.0,-6524.0,-0.3073878627968338
277,7032022,W4C1,rMS,day4,8,35287.0,-25833.0,-0.7320826366650608
278,7032022,W4C1,rMS,day4,9,5166.0,3911.0,0.7570654277971351
279,7032022,W4C1,rMS,day4,10,3221.0,6817.0,2.116423470971748
280,7032022,W4C1,rMS,day4,11,2882.0,270.0,0.0936849410131853
281,7032022,W4C1,rMS,day4,12,5117.0,-2571.0,-0.5024428376001563
282,7032022,W4C1,rMS,day4,13,5468.0,6398.0,1.170080468178493
283,7032022,W4C1,rMS,day4,14,7846.0,862.0,0.10986489931175121
284,7032022,W4C1,rMS,day4,15,9575.0,9759.0,1.0192167101827676
285,7032022,W4C1,rMS,day4,16,3654.0,15685.0,4.292556102900931
286,7032022,W4C1,rMS,day4,17,7821.0,5215.0,0.6667945275540212
287,7032022,W4C1,rMS,day4,18,4064.0,3797.0,0.9343011811023622
288,7032022,W4C1,rMS,day4,19,2766.0,13880.0,5.018076644974693
289,7032022,W4C1,rMS,day4,20,8236.0,7793.0,0.9462117532782904
290,7032022,W4C1,rMS,day4,21,3976.0,4775.0,1.2009557344064385
291,7032022,W4C1,rMS,day4,22,12385.0,4193.0,0.3385547032700848
292,7032022,W4C1,rMS,day4,23,9830.0,-1758.0,-0.17884028484231942
293,7032022,W4C1,rMS,day4,24,5377.0,5698.0,1.0596987167565557
294,7032022,W4C1,rMS,day4,25,6304.0,4813.0,0.7634835025380711
295,7032022,W4C1,rMS,day4,26,48761.0,-46837.0,-0.9605422366235311
296,7032022,W4C1,rMS,day4,27,18900.0,19115.0,1.0113756613756615
297,7032022,W4C1,rMS,day4,28,8131.0,10140.0,1.2470790800639528
298,7032022,W4C1,rMS,day4,29,19768.0,17775.0,0.899180493727236
299,7032022,W4C1,rMS,day4,30,2781.0,231.0,0.08306364617044229
816,7032022,W4C1,rMS,day4,1,2711.0,9504.0,3.5057174474363704
817,7032022,W4C1,rMS,day4,2,6956.0,8881.0,1.2767395054629098
818,7032022,W4C1,rMS,day4,3,3928.0,3330.0,0.8477596741344195
819,7032022,W4C1,rMS,day4,4,2716.0,1270.0,0.46759941089838
820,7032022,W4C1,rMS,day4,5,6676.0,2792.0,0.4182144997004194
821,7032022,W4C1,rMS,day4,6,25842.0,-12754.0,-0.4935376518845291
822,7032022,W4C1,rMS,day4,7,5545.0,1845.0,0.3327321911632101
823,7032022,W4C1,rMS,day4,8,15040.0,-8173.0,-0.5434175531914893
