segment,length,ave_width,spine_count,spine_density,culture,batch,group,time
W4C1_segment1,36.74,0.88,35,0.95258,W4C1,703,rMS,day0
W4C1_segment2,48.53,1.05,63,1.29823,W4C1,703,rMS,day0
W1C3_segment1,47.14,0.86,53,1.12429,W1C3,2104,rMS,day0
W1C3_segment2,38.82,0.96,50,1.28793,W1C3,2104,rMS,day0
W3C1_segment1,58.23,0.96,59,1.01317,W3C1,2104,sham,day0
W3C1_segment2,51.3,0.91,52,1.01363,W3C1,2104,sham,day0
W3C4_segment1,48.13,0.84,53,1.10115,W3C4,2104,sham,day0
W3C4_segment2,46.05,0.74,48,1.04231,W3C4,2104,sham,day0
W6C2_segment1,28.72,0.96,38,1.3231,W6C2,2104,rMS,day0
W6C2_segment2,33.67,0.89,38,1.12853,W6C2,2104,rMS,day0
W8C4_segment1,51.99,0.78,57,1.09628,W8C4,2104,sham,day0
W4C1_segment1,34.66,0.86,42,1.21168,W4C1,703,rMS,day1
W4C1_segment2,48.53,1.03,44,0.9067,W4C1,703,rMS,day1
W1C3_segment1,46.45,0.96,62,1.33483,W1C3,2104,rMS,day1
W1C3_segment2,36.74,1.05,55,1.49691,W1C3,2104,rMS,day1
W3C1_segment1,49.91,0.93,49,0.98169,W3C1,2104,sham,day1
W3C1_segment2,51.99,1.05,64,1.23092,W3C1,2104,sham,day1
W3C4_segment1,49.62,0.82,51,1.02787,W3C4,2104,sham,day1
W3C4_segment2,47.54,0.77,56,1.17802,W3C4,2104,sham,day1
W6C2_segment1,27.04,0.82,34,1.25755,W6C2,2104,rMS,day1
W6C2_segment2,41.89,0.94,49,1.16967,W6C2,2104,rMS,day1
W8C4_segment1,51.7,0.74,68,1.31536,W8C4,2104,sham,day1
W4C1_segment1,42.29,1.1,35,0.82765,W4C1,703,rMS,day2
W4C1_segment2,47.14,0.84,52,1.10307,W4C1,703,rMS,day2
W1C3_segment1,45.06,0.97,55,1.22056,W1C3,2104,rMS,day2
W1C3_segment2,31.89,0.98,44,1.37976,W1C3,2104,rMS,day2
W3C1_segment1,51.3,0.84,49,0.95516,W3C1,2104,sham,day2
W3C1_segment2,47.83,0.87,45,0.94075,W3C1,2104,sham,day2
W3C4_segment1,55.56,0.88,55,0.98994,W3C4,2104,sham,day2
W3C4_segment2,46.94,0.83,40,0.8521,W3C4,2104,sham,day2
W6C2_segment1,34.76,0.79,54,1.55344,W6C2,2104,rMS,day2
W6C2_segment2,38.03,0.81,47,1.23587,W6C2,2104,rMS,day2
W8C4_segment1,50.51,0.69,66,1.30672,W8C4,2104,sham,day2
W4C1_segment1,36.05,0.76,40,1.1096,W4C1,703,rMS,day3
W4C1_segment2,49.22,0.84,55,1.11741,W4C1,703,rMS,day3
W1C3_segment1,49.91,0.93,63,1.26217,W1C3,2104,rMS,day3
W1C3_segment2,51.3,1.01,53,1.03313,W1C3,2104,rMS,day3
W3C1_segment1,42.49,0.82,39,0.91794,W3C1,2104,sham,day3
W3C1_segment2,48.13,0.72,47,0.97649,W3C1,2104,sham,day3
W3C4_segment1,58.83,0.86,69,1.17293,W3C4,2104,sham,day3
W3C4_segment2,47.24,0.79,44,0.93141,W3C4,2104,sham,day3
W6C2_segment1,35.65,0.78,52,1.45851,W6C2,2104,rMS,day3
W6C2_segment2,39.22,0.9,42,1.07093,W6C2,2104,rMS,day3
W8C4_segment1,49.91,0.72,64,1.2822,W8C4,2104,sham,day3
W4C1_segment1,34.66,0.86,38,1.09628,W4C1,703,rMS,day4
W4C1_segment2,49.22,0.77,54,1.0971,W4C1,703,rMS,day4
W1C3_segment1,54.07,1.05,68,1.25755,W1C3,2104,rMS,day4
W1C3_segment2,49.91,1.06,53,1.06183,W1C3,2104,rMS,day4
W3C1_segment1,41.89,0.87,42,1.00257,W3C1,2104,sham,day4
W3C1_segment2,49.91,0.77,58,1.162,W3C1,2104,sham,day4
W3C4_segment1,48.73,0.82,51,1.04668,W3C4,2104,sham,day4
W3C4_segment2,47.83,0.74,46,0.96165,W3C4,2104,sham,day4
W6C2_segment1,36.25,0.82,51,1.40701,W6C2,2104,rMS,day4
W6C2_segment2,37.44,0.93,46,1.22878,W6C2,2104,rMS,day4
W8C4_segment1,50.21,0.73,61,1.21487,W8C4,2104,sham,day4
W4C1_segment1,33.97,0.63,45,1.32473,W4C1,703,rMS,1h
W4C1_segment2,50.61,0.85,57,1.12632,W4C1,703,rMS,1h
W1C3_segment1,47.14,0.98,62,1.3152,W1C3,2104,rMS,1h
W1C3_segment2,40.21,1.01,55,1.36787,W1C3,2104,rMS,1h
W3C1_segment1,42.78,0.92,39,0.91157,W3C1,2104,sham,1h
W3C1_segment2,50.21,0.76,47,0.93605,W3C1,2104,sham,1h
W3C4_segment1,50.81,0.84,50,0.98415,W3C4,2104,sham,1h
W3C4_segment2,47.54,0.74,51,1.07284,W3C4,2104,sham,1h
W6C2_segment1,30.3,0.88,44,1.45191,W6C2,2104,rMS,1h
W6C2_segment2,36.84,0.86,45,1.22145,W6C2,2104,rMS,1h
W8C4_segment1,51.1,0.75,65,1.27195,W8C4,2104,sham,1h
W4C1_segment1,34.66,0.84,40,1.15398,W4C1,703,rMS,24h
W4C1_segment2,46.45,0.88,55,1.18412,W4C1,703,rMS,24h
W1C3_segment1,48.53,0.99,60,1.23641,W1C3,2104,rMS,24h
W1C3_segment2,45.06,0.95,56,1.24275,W1C3,2104,rMS,24h
W3C1_segment1,44.86,0.9,45,1.00305,W3C1,2104,sham,24h
W3C1_segment2,47.83,0.79,42,0.87803,W3C1,2104,sham,24h
W3C4_segment1,51.7,0.94,57,1.10258,W3C4,2104,sham,24h
W3C4_segment2,45.16,0.79,49,1.08502,W3C4,2104,sham,24h
W6C2_segment1,30.6,0.77,47,1.53584,W6C2,2104,rMS,24h
W6C2_segment2,34.46,0.95,38,1.10258,W6C2,2104,rMS,24h
W8C4_segment1,54.47,1.21,61,1.11989,W8C4,2104,sham,24h
W4C1_segment1,36.05,0.74,54,1.49796,W4C1,703,rMS,2h
W4C1_segment2,51.99,0.92,61,1.17322,W4C1,703,rMS,2h
W1C3_segment1,45.75,0.99,62,1.35506,W1C3,2104,rMS,2h
W1C3_segment2,38.82,1.05,43,1.10762,W1C3,2104,rMS,2h
W3C1_segment1,42.19,0.84,44,1.04292,W3C1,2104,sham,2h
W3C1_segment2,50.81,0.82,47,0.9251,W3C1,2104,sham,2h
W3C4_segment1,51.4,0.85,56,1.0895,W3C4,2104,sham,2h
W3C4_segment2,47.54,0.77,48,1.00974,W3C4,2104,sham,2h
W6C2_segment1,26.44,0.75,37,1.39926,W6C2,2104,rMS,2h
W6C2_segment2,35.65,0.86,42,1.17802,W6C2,2104,rMS,2h
W8C4_segment1,49.62,0.7,61,1.22942,W8C4,2104,sham,2h
W4C1_segment1,36.05,0.89,47,1.30378,W4C1,703,rMS,3h
W4C1_segment2,50.61,0.7,58,1.14608,W4C1,703,rMS,3h
W1C3_segment1,49.91,0.92,55,1.10189,W1C3,2104,rMS,3h
W1C3_segment2,49.91,1.05,50,1.00172,W1C3,2104,rMS,3h
W3C1_segment1,43.38,0.85,43,0.99129,W3C1,2104,sham,3h
W3C1_segment2,50.21,0.74,43,0.85638,W3C1,2104,sham,3h
W3C4_segment1,52.29,0.82,60,1.14743,W3C4,2104,sham,3h
W3C4_segment2,46.35,0.78,46,0.99248,W3C4,2104,sham,3h
W6C2_segment1,31.79,0.84,45,1.41552,W6C2,2104,rMS,3h
W6C2_segment2,35.65,0.93,45,1.26217,W6C2,2104,rMS,3h
W8C4_segment1,49.91,0.77,63,1.26217,W8C4,2104,sham,3h
