,spine_ID,Label,Area,IntDen,RawIntDen,batch,culture,segment_ID,time,group,segment,time_cor,normed_size,summed_size
0,1,MAX_W4-C1-63xz-day0.tif,0.383,37.261,3799.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.6256569557551843,37.261
1,2,MAX_W4-C1-63xz-day0.tif,0.294,33.534,3419.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.3898375331564987,37.261
2,3,MAX_W4-C1-63xz-day0.tif,0.412,50.924,5192.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.146136706353672,37.261
3,4,MAX_W4-C1-63xz-day0.tif,0.471,49.6,5057.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.3681874192734237,37.261
4,5,MAX_W4-C1-63xz-day0.tif,0.383,49.462,5043.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.44727180655779214,37.261
5,6,MAX_W4-C1-63xz-day0.tif,0.5,30.856,3146.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.3570097999514052,37.261
6,7,MAX_W4-C1-63xz-day0.tif,0.853,109.655,11180.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.5267645688317553,37.261
7,8,MAX_W4-C1-63xz-day0.tif,0.588,103.799,10583.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.2999121636068397,37.261
8,9,MAX_W4-C1-63xz-day0.tif,0.588,73.747,7519.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.4554658667035072,37.261
9,10,MAX_W4-C1-63xz-day0.tif,0.814,75.738,7722.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,2.397379083312231,37.261
10,11,MAX_W4-C1-63xz-day0.tif,0.834,56.2,5730.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.9881841016025756,37.261
11,12,MAX_W4-C1-63xz-day0.tif,1.246,144.503,14733.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,2.879234079859727,37.261
12,13,MAX_W4-C1-63xz-day0.tif,0.628,76.513,7801.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.4266562249445285,37.261
13,14,MAX_W4-C1-63xz-day0.tif,0.5,62.684,6391.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.8145645450528888,37.261
14,15,MAX_W4-C1-63xz-day0.tif,0.961,152.447,15543.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.623278992258793,37.261
15,16,MAX_W4-C1-63xz-day0.tif,0.569,50.659,5165.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.4135160021205948,37.261
16,17,MAX_W4-C1-63xz-day0.tif,0.951,119.061,12139.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.5521125291686764,37.261
17,18,MAX_W4-C1-63xz-day0.tif,0.706,67.558,6888.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.6948820873055697,37.261
18,19,MAX_W4-C1-63xz-day0.tif,0.383,45.264,4615.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.6684728519296694,37.261
19,20,MAX_W4-C1-63xz-day0.tif,1.069,102.534,10454.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.2692993315177024,37.261
20,21,MAX_W4-C1-63xz-day0.tif,0.696,64.871,6614.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.6634869348924275,37.261
21,22,MAX_W4-C1-63xz-day0.tif,0.559,28.865,2943.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.2376248219769002,37.261
22,23,MAX_W4-C1-63xz-day0.tif,0.991,79.681,8124.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.8264463667102288,37.261
23,24,MAX_W4-C1-63xz-day0.tif,0.951,89.793,9155.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.7026242936781828,37.261
24,25,MAX_W4-C1-63xz-day0.tif,0.961,89.793,9155.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,1.4522561863173218,37.261
25,26,MAX_W4-C1-63xz-day0.tif,1.197,114.49,11673.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.23939212090671674,37.261
26,27,MAX_W4-C1-63xz-day0.tif,0.696,77.288,7880.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.4169323472134561,37.261
27,28,MAX_W4-C1-63xz-day0.tif,0.51,46.687,4760.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.5854169278996865,37.261
28,29,MAX_W4-C1-63xz-day0.tif,0.706,87.988,8971.0,07032022,W4C1,segment1,day0,rMS,W4C1-segment1,0.0,0.45381306540957056,37.261
