,Unnamed: 0,experiment,prep_date,culture,timing,neuron,auc,firing_rate,coef,power_auc,group
0,0,iTBS,07-04-2022,4-1-1,24h-post,1,0.415938663088419,4,0.0053287735414894,10.417096357982883,control
1,1,iTBS,07-04-2022,4-1-1,24h-post,2,5.54251338136222,2,0.0053287735414894,8.450770269689711,control
2,2,iTBS,07-04-2022,4-1-1,24h-post,3,2.311812265909716,4,0.0053287735414894,0.2119649974986082,control
3,3,iTBS,07-04-2022,4-1-1,24h-post,5,0.7511639838548367,1,0.0053287735414894,443.9472098721607,control
4,4,iTBS,07-04-2022,4-1-1,24h-post,6,0.3291627910493855,2,0.0053287735414894,8.296828289360247,control
5,5,iTBS,07-04-2022,4-1-1,24h-post,8,1.4912241282101115,0,0.0053287735414894,1.8450506017357968,control
6,6,iTBS,07-04-2022,4-1-1,24h-post,10,1.7846531477015797,0,0.0053287735414894,1.3083043917135428,control
7,7,iTBS,07-04-2022,4-1-1,24h-post,11,2.7099163446201646,1,0.0053287735414894,2.316483077754799,control
8,8,iTBS,07-04-2022,4-1-1,24h-post,13,3.007282252309025,2,0.0053287735414894,1.1928150782931215,control
9,9,iTBS,07-04-2022,4-1-1,24h-post,14,17.048933986080108,4,0.0053287735414894,1.1289992345377913,control
10,10,iTBS,07-04-2022,4-1-1,24h-post,16,4.869002797235998,1,0.0053287735414894,0.0155702618926982,control
11,11,iTBS,07-04-2022,4-1-1,24h-post,17,6.861894583053565,5,0.0053287735414894,16.99773231260504,control
12,12,iTBS,07-04-2022,4-1-1,24h-post,19,0.0106189901380284,2,0.0053287735414894,8.551903189067854,control
13,13,iTBS,07-04-2022,4-1-1,24h-post,21,0.9635570925111604,2,0.0053287735414894,2.280794523271368,control
14,14,iTBS,07-04-2022,4-1-1,24h-post,22,5.267135645510109,1,0.0053287735414894,4.445633373050877,control
15,15,iTBS,07-04-2022,4-1-1,24h-post,23,0.7548935965334547,0,0.0053287735414894,4.025487650608943,control
16,16,iTBS,07-04-2022,4-1-1,24h-post,24,0.9265461330869372,2,0.0053287735414894,1.3027197124007257,control
17,17,iTBS,07-04-2022,4-1-1,24h-post,27,1.4659302845346307,3,0.0053287735414894,2.816649584521405,control
18,18,iTBS,07-04-2022,4-1-1,24h-post,29,1.0539513744300617,3,0.0053287735414894,1.362644566442837,control
19,19,iTBS,07-04-2022,4-1-1,24h-post,32,6.1717287143343,1,0.0053287735414894,1.9456922644916856,control
20,20,iTBS,07-04-2022,4-1-1,24h-post,33,0.9239194697200592,2,0.0053287735414894,0.659421125103574,control
21,21,iTBS,07-04-2022,4-1-1,24h-post,34,6.422467072987814,2,0.0053287735414894,1.1771430740682616,control
22,22,iTBS,07-04-2022,4-1-1,24h-post,35,4.564690295492655,1,0.0053287735414894,2.981359880464608,control
23,23,iTBS,07-04-2022,4-1-1,24h-post,37,1.912208695763272,2,0.0053287735414894,1.189614212428132,control
24,24,iTBS,07-04-2022,4-1-1,24h-post,38,14.28371646583,5,0.0053287735414894,6.490401972999895,control
25,25,iTBS,07-04-2022,4-1-1,24h-post,40,21.049105505567887,2,0.0053287735414894,7.150153385992623,control
26,26,iTBS,07-04-2022,4-1-1,24h-post,42,10.836583379472785,6,0.0053287735414894,11.262804288883572,control
27,27,iTBS,07-04-2022,4-1-1,24h-post,44,13.65018318790104,2,0.0053287735414894,17.931389696758853,control
28,28,iTBS,07-04-2022,4-1-1,24h-post,45,21.09151779032929,2,0.0053287735414894,3.3758472246470568,control
29,29,iTBS,07-04-2022,4-1-1,24h-post,46,9.227915030337176,3,0.0053287735414894,32.182105352331355,control
30,30,iTBS,07-04-2022,4-1-1,24h-post,48,9.707400992182944,1,0.0053287735414894,1.2769104297492464,control
31,31,iTBS,07-04-2022,4-1-1,24h-post,49,10.198017249966082,4,0.0053287735414894,3.491157277810615,control
32,32,iTBS,07-04-2022,4-1-1,24h-post,50,19.60540748600165,4,0.0053287735414894,2.217034595641411,control
33,33,iTBS,07-04-2022,4-1-1,24h-post,51,2.8877592969959918,2,0.0053287735414894,1.1048981001094391,control
34,34,iTBS,07-04-2022,4-1-1,24h-post,52,1.1235680099154832,2,0.0053287735414894,2.895264518220217,control
35,35,iTBS,07-04-2022,4-1-1,24h-post,53,0.9583380346327656,1,0.0053287735414894,2.494288311335556,control
36,36,iTBS,07-04-2022,4-1-1,24h-post,55,5.126907749261651,1,0.0053287735414894,0.8310652221814432,control
37,37,iTBS,07-04-2022,4-1-1,24h-post,59,3.330921370185789,3,0.0053287735414894,0.586628870956053,control
38,38,iTBS,07-04-2022,4-1-1,24h-post,61,1.8004398836883442,0,0.0053287735414894,10.445946223314603,control
39,39,iTBS,07-04-2022,4-1-1,24h-post,62,3.127063405331919,0,0.0053287735414894,14.376725006148956,control
40,40,iTBS,07-04-2022,4-1-1,24h-post,63,3.692697100209751,0,0.0053287735414894,2.646634225630745,control
41,41,iTBS,07-04-2022,4-1-1,24h-post,64,3.254722124004456,0,0.0053287735414894,8.5982538472584,control
42,42,iTBS,07-04-2022,4-1-1,24h-post,65,6.632266029713888,3,0.0053287735414894,6.823239442723933,control
43,43,iTBS,07-04-2022,4-1-1,24h-post,66,32.86130864827424,4,0.0053287735414894,2.995738593243039,control
44,44,iTBS,07-04-2022,4-1-1,24h-post,67,5.38461269579974,3,0.0053287735414894,10.7065391667529,control
45,45,iTBS,07-04-2022,4-1-1,24h-post,68,5.182591997232598,2,0.0053287735414894,12.207011354753078,control
46,46,iTBS,07-04-2022,4-1-1,24h-post,69,8.371568410961597,0,0.0053287735414894,16.659440698139576,control
47,47,iTBS,07-04-2022,4-1-1,24h-post,76,3.4459208337383123,3,0.0053287735414894,1.1745666316753662,control
48,48,iTBS,07-04-2022,4-1-1,24h-post,77,7.05086091575437,3,0.0053287735414894,16.195063462549868,control
49,49,iTBS,07-04-2022,4-1-1,24h-post,82,9.658023436770137,2,0.0053287735414894,30.384086339398447,control
50,50,iTBS,07-04-2022,4-1-1,24h-post,83,16.666305588576936,2,0.0053287735414894,0.7376133012985338,control
51,51,iTBS,07-04-2022,4-1-1,24h-post,84,4.878283318576264,3,0.0053287735414894,1.8534736483838792,control
52,52,iTBS,07-04-2022,4-1-1,24h-post,88,15.454453288648631,0,0.0053287735414894,41.85719521150179,control
53,53,iTBS,07-04-2022,4-1-1,24h-post,89,1.1761790240931689,4,0.0053287735414894,10.06536770973523,control
54,54,iTBS,07-04-2022,4-1-1,24h-post,90,8.922362006115513,1,0.0053287735414894,19.28518596553136,control
55,55,iTBS,07-04-2022,4-1-1,24h-post,93,15.805571708348728,0,0.0053287735414894,2.027538591616961,control
56,56,iTBS,07-04-2022,4-1-1,24h-post,94,6.314698015374388,2,0.0053287735414894,2.9833742291282976,control
57,57,iTBS,07-04-2022,4-1-1,24h-post,95,11.577220814940308,1,0.0053287735414894,3.6244672237341504,control
58,58,iTBS,07-04-2022,4-1-1,24h-post,97,10.526080689659096,2,0.0053287735414894,7.742261786095983,control
59,59,iTBS,07-04-2022,4-1-1,24h-post,99,4.82546012668252,5,0.0053287735414894,2.531998763674329,control
60,60,iTBS,07-04-2022,4-1-1,24h-post,101,9.163843158315562,2,0.0053287735414894,9.318265449998272,control
61,61,iTBS,07-04-2022,4-1-1,24h-post,103,18.35906412254831,0,0.0053287735414894,2.1416959301275758,control
62,62,iTBS,07-04-2022,4-1-1,24h-post,105,2.739572872307828,1,0.0053287735414894,0.6142960966235944,control
63,63,iTBS,07-04-2022,4-1-1,24h-post,106,0.5929019813711598,2,0.0053287735414894,3.856117769456881,control
64,64,iTBS,07-04-2022,4-1-1,24h-post,107,3.469827323065981,2,0.0053287735414894,1.4035050144341816,control
65,65,iTBS,07-04-2022,4-1-1,24h-post,108,8.35581125138611,3,0.0053287735414894,1.4371846296071609,control
66,66,iTBS,07-04-2022,4-1-1,24h-post,109,10.210815006787152,2,0.0053287735414894,2.389716522014988,control
67,67,iTBS,07-04-2022,4-1-1,24h-post,110,8.323617086846255,3,0.0053287735414894,0.8800192310058392,control
68,68,iTBS,07-04-2022,4-1-1,24h-post,112,2.8110030086461544,1,0.0053287735414894,1.1157787182482823,control
69,69,iTBS,07-04-2022,4-1-1,24h-post,113,5.948834021801021,2,0.0053287735414894,1.492157124816641,control
70,70,iTBS,07-04-2022,4-1-1,24h-post,114,5.700462961545272,3,0.0053287735414894,0.7263890443231524,control
71,71,iTBS,07-04-2022,4-1-1,24h-post,117,3.482167549751539,5,0.0053287735414894,8.904785112693217,control
72,72,iTBS,07-04-2022,4-1-1,24h-post,118,7.761632018102098,2,0.0053287735414894,2.650877438623408,control
73,73,iTBS,07-04-2022,4-1-1,24h-post,119,8.994401131488441,5,0.0053287735414894,7.224784517100254,control
74,74,iTBS,07-04-2022,4-1-1,24h-post,120,7.363074967282355,2,0.0053287735414894,1.6760466868511577,control
75,75,iTBS,07-04-2022,4-1-1,24h-post,122,1.1742569468988426,4,0.0053287735414894,18.947271906560545,control
76,76,iTBS,07-04-2022,4-1-1,24h-post,123,11.229759215599948,2,0.0053287735414894,1.6827429147922484,control
77,77,iTBS,07-04-2022,4-1-1,24h-post,124,1.96152812937156,5,0.0053287735414894,2.0360127761406,control
78,78,iTBS,07-04-2022,4-1-1,24h-post,125,9.7312713810206,0,0.0053287735414894,4.250267140225401,control
79,79,iTBS,07-04-2022,4-1-1,24h-post,126,5.96131959504544,1,0.0053287735414894,2.201045542527801,control
80,80,iTBS,07-04-2022,4-1-1,24h-post,127,23.947657334889364,3,0.0053287735414894,6.238239583419645,control
81,81,iTBS,07-04-2022,4-1-1,24h-post,128,28.711911734478235,0,0.0053287735414894,4.009955317599744,control
82,82,iTBS,07-04-2022,4-1-1,24h-post,129,9.683233417035323,1,0.0053287735414894,6.497545572488727,control
83,83,iTBS,07-04-2022,4-1-1,24h-post,130,8.526581928518324,2,0.0053287735414894,17.110546995133692,control
84,84,iTBS,07-04-2022,4-1-1,24h-post,132,5.220009754087486,3,0.0053287735414894,5.272283297718122,control
85,85,iTBS,07-04-2022,4-1-1,24h-post,134,2.6605547602041906,1,0.0053287735414894,10.955055850233862,control
86,86,iTBS,07-04-2022,4-1-1,24h-post,136,12.739479427890748,3,0.0053287735414894,5.210238176074751,control
87,87,iTBS,07-04-2022,4-1-1,24h-post,139,0.719140762950766,2,0.0053287735414894,3.574353665030269,control
88,88,iTBS,07-04-2022,4-1-1,24h-post,140,8.675093627013956,2,0.0053287735414894,4.812768112410753,control
89,89,iTBS,07-04-2022,4-1-1,24h-post,141,8.830014225569904,3,0.0053287735414894,6.730479089795582,control
90,90,iTBS,07-04-2022,4-1-1,24h-post,142,5.263692730752216,5,0.0053287735414894,10.308292206641672,control
91,91,iTBS,07-04-2022,4-1-1,24h-post,143,1.219583357200797,1,0.0053287735414894,3.2690294426486504,control
92,92,iTBS,07-04-2022,4-1-1,24h-post,144,0.0470922024505102,3,0.0053287735414894,5.818782717218833,control
93,93,iTBS,07-04-2022,4-1-1,24h-post,145,0.9124774910896054,5,0.0053287735414894,1.2136757461157357,control
94,94,iTBS,07-04-2022,4-1-2,24h-post,1,3.5569338650673057,3,0.0201496566356591,4.8156253242701546,control
95,95,iTBS,07-04-2022,4-1-2,24h-post,2,0.7482495259298334,3,0.0201496566356591,2.8967317856718773,control
96,96,iTBS,07-04-2022,4-1-2,24h-post,3,15.338127886420445,2,0.0201496566356591,2.085408923786434,control
97,97,iTBS,07-04-2022,4-1-2,24h-post,4,1.3033816112375534,5,0.0201496566356591,0.511695098912095,control
98,98,iTBS,07-04-2022,4-1-2,24h-post,7,2.0935930803342906,4,0.0201496566356591,5.186735604532228,control
99,99,iTBS,07-04-2022,4-1-2,24h-post,8,5.0394281141851724,5,0.0201496566356591,1.4868735343705204,control
100,100,iTBS,07-04-2022,4-1-2,24h-post,11,2.127004717908479,4,0.0201496566356591,5.965632008162943,control
101,101,iTBS,07-04-2022,4-1-2,24h-post,12,7.833804872553375,5,0.0201496566356591,15.116452605969933,control
102,102,iTBS,07-04-2022,4-1-2,24h-post,13,1.1680339293760555,4,0.0201496566356591,4.696527533655816,control
103,103,iTBS,07-04-2022,4-1-2,24h-post,14,7.113625127281435,3,0.0201496566356591,1.5051647773610726,control
104,104,iTBS,07-04-2022,4-1-2,24h-post,15,13.872487224242576,2,0.0201496566356591,4.876789899516302,control
105,105,iTBS,07-04-2022,4-1-2,24h-post,16,1.3204359982322678,0,0.0201496566356591,8.767578319457623,control
106,106,iTBS,07-04-2022,4-1-2,24h-post,17,3.34347218316117,2,0.0201496566356591,0.7256805785462515,control
107,107,iTBS,07-04-2022,4-1-2,24h-post,18,9.087895916542028,1,0.0201496566356591,24.201195235081887,control
108,108,iTBS,07-04-2022,4-1-2,24h-post,19,0.3602311121064843,4,0.0201496566356591,5.255867817303145,control
109,109,iTBS,07-04-2022,4-1-2,24h-post,20,3.107140497810212,4,0.0201496566356591,1.2493728728011115,control
110,110,iTBS,07-04-2022,4-1-2,24h-post,21,1.6808335886381496,3,0.0201496566356591,2.118271855814964,control
111,111,iTBS,07-04-2022,4-1-2,24h-post,22,0.8284133987231623,3,0.0201496566356591,38.28171115418818,control
112,112,iTBS,07-04-2022,4-1-2,24h-post,23,8.783434955654744,2,0.0201496566356591,1.0676944514913052,control
113,113,iTBS,07-04-2022,4-1-2,24h-post,24,10.194320657062429,1,0.0201496566356591,0.1520111588507138,control
114,114,iTBS,07-04-2022,4-1-2,24h-post,25,4.33671572104172,5,0.0201496566356591,3.842664409114791,control
115,115,iTBS,07-04-2022,4-1-2,24h-post,26,1.889330531801928,4,0.0201496566356591,3.6773063602705225,control
116,116,iTBS,07-04-2022,4-1-2,24h-post,27,1.3105468135214746,2,0.0201496566356591,1.1179068797189249,control
117,117,iTBS,07-04-2022,4-1-2,24h-post,28,5.935270542328068,0,0.0201496566356591,1.7286708135297943,control
118,118,iTBS,07-04-2022,4-1-2,24h-post,29,9.082624849060924,1,0.0201496566356591,1.4927490007394384,control
119,119,iTBS,07-04-2022,4-1-2,24h-post,31,7.413838404593347,1,0.0201496566356591,0.2876479059657584,control
120,120,iTBS,07-04-2022,4-1-2,24h-post,32,0.5855487530367602,4,0.0201496566356591,1.5025506920304146,control
121,121,iTBS,07-04-2022,4-1-2,24h-post,33,9.99219519433345,4,0.0201496566356591,2.5083187946184404,control
122,122,iTBS,07-04-2022,4-1-2,24h-post,35,9.000046620011517,3,0.0201496566356591,15.902088332272704,control
123,123,iTBS,07-04-2022,4-1-2,24h-post,36,2.364656728504774,3,0.0201496566356591,0.3639581588121734,control
124,124,iTBS,07-04-2022,4-1-2,24h-post,37,4.561854771468628,2,0.0201496566356591,1.082189537868699,control
125,125,iTBS,07-04-2022,4-1-2,24h-post,39,13.798035766744844,2,0.0201496566356591,2.995698482345889,control
126,126,iTBS,07-04-2022,4-1-2,24h-post,40,2.942896646375532,3,0.0201496566356591,1.4622064083891138,control
127,127,iTBS,07-04-2022,4-1-2,24h-post,41,1.869508696792371,5,0.0201496566356591,1.2098326452332655,control
128,128,iTBS,07-04-2022,4-1-2,24h-post,43,8.220437733323031,1,0.0201496566356591,1.25199725293422,control
129,129,iTBS,07-04-2022,4-1-2,24h-post,44,14.773365292551578,1,0.0201496566356591,1.764379272417994,control
130,130,iTBS,07-04-2022,4-1-2,24h-post,45,2.667756383807653,1,0.0201496566356591,7.837567334723117,control
131,131,iTBS,07-04-2022,4-1-2,24h-post,48,10.864316007911873,4,0.0201496566356591,1.0308669434365485,control
132,132,iTBS,07-04-2022,4-1-2,24h-post,51,2.211622444380993,3,0.0201496566356591,1.4473452534970137,control
133,133,iTBS,07-04-2022,4-1-2,24h-post,53,9.101702312121764,3,0.0201496566356591,3.734310690682078,control
134,134,iTBS,07-04-2022,4-1-2,24h-post,54,19.53062029869113,2,0.0201496566356591,1.1115119655570005,control
135,135,iTBS,07-04-2022,4-1-2,24h-post,55,18.833329828531767,0,0.0201496566356591,0.6588504966430411,control
136,136,iTBS,07-04-2022,4-1-2,24h-post,56,24.607201406828207,1,0.0201496566356591,1.0284571010466488,control
137,137,iTBS,07-04-2022,4-1-2,24h-post,57,18.11615960225885,2,0.0201496566356591,1.02549738932809,control
138,138,iTBS,07-04-2022,4-1-2,24h-post,59,6.903521668695789,1,0.0201496566356591,1.944441261163749,control
139,139,iTBS,07-04-2022,4-1-2,24h-post,60,4.073166102089574,1,0.0201496566356591,0.4233013902950833,control
140,140,iTBS,07-04-2022,4-1-2,24h-post,61,4.345953648180478,0,0.0201496566356591,1.502742335633183,control
141,141,iTBS,07-04-2022,4-1-2,24h-post,63,11.848832682799925,2,0.0201496566356591,0.0569307299116457,control
142,142,iTBS,07-04-2022,4-1-2,24h-post,64,2.5654120137119687,0,0.0201496566356591,0.3632046657503169,control
143,143,iTBS,07-04-2022,4-1-2,24h-post,66,2.654010336264638,2,0.0201496566356591,0.3337724969530918,control
144,144,iTBS,07-04-2022,4-1-2,24h-post,68,9.738862609830951,1,0.0201496566356591,0.9384859958275548,control
145,145,iTBS,07-04-2022,4-1-2,24h-post,69,16.84500264401158,5,0.0201496566356591,0.8160492957837513,control
146,146,iTBS,07-04-2022,4-1-2,24h-post,70,9.919411181859706,6,0.0201496566356591,1.019165440505423,control
147,147,iTBS,07-04-2022,4-1-2,24h-post,71,23.623607406113287,0,0.0201496566356591,1.5743184120596476,control
148,148,iTBS,07-04-2022,4-1-2,24h-post,75,5.31361139062381,5,0.0201496566356591,1.0123761046483932,control
149,149,iTBS,07-04-2022,4-1-2,24h-post,79,4.919186724703521,3,0.0201496566356591,0.2191166614236033,control
150,150,iTBS,07-04-2022,4-1-2,24h-post,80,11.76700051166724,4,0.0201496566356591,1.631222217464237,control
151,151,iTBS,07-04-2022,4-1-2,24h-post,82,0.9976629230115877,4,0.0201496566356591,0.1358234538142626,control
152,152,iTBS,07-04-2022,4-1-2,24h-post,83,5.42085686655154,2,0.0201496566356591,2.27601449494993,control
153,153,iTBS,07-04-2022,4-1-2,24h-post,84,6.449628161000164,2,0.0201496566356591,0.8269162958375146,control
154,154,iTBS,07-04-2022,4-1-2,24h-post,85,2.945420400360943,2,0.0201496566356591,0.8158899829955388,control
155,155,iTBS,07-04-2022,4-1-2,24h-post,89,7.39996996731907,2,0.0201496566356591,1.3686131412314713,control
156,156,iTBS,07-04-2022,4-1-2,24h-post,91,0.4554292042060561,3,0.0201496566356591,0.9789712889333104,control
157,157,iTBS,07-04-2022,4-1-2,24h-post,94,11.730612567528985,1,0.0201496566356591,0.069882977605483,control
158,158,iTBS,07-04-2022,4-1-2,24h-post,95,2.830703809036897,5,0.0201496566356591,0.090425657347807,control
159,159,iTBS,07-04-2022,4-1-2,24h-post,99,0.4403112272983218,4,0.0201496566356591,0.0542675028125345,control
160,160,iTBS,07-04-2022,4-1-2,24h-post,100,10.217979485613409,3,0.0201496566356591,0.2893726013736191,control
161,161,iTBS,07-04-2022,4-1-2,24h-post,102,17.102402471254173,1,0.0201496566356591,3.0367082346995984,control
162,162,iTBS,07-04-2022,4-1-2,24h-post,103,13.97048449477773,2,0.0201496566356591,2.066640139986553,control
163,163,iTBS,07-04-2022,4-2-1,24h-post,1,1.0936632548463605,3,0.0221897258754338,11.563998865720654,rMS
164,164,iTBS,07-04-2022,4-2-1,24h-post,3,25.487472653746813,1,0.0221897258754338,1.5082332962064644,rMS
165,165,iTBS,07-04-2022,4-2-1,24h-post,4,0.5718883218153961,1,0.0221897258754338,7.007541001374973,rMS
166,166,iTBS,07-04-2022,4-2-1,24h-post,7,10.261286091573169,3,0.0221897258754338,4.111375863957968,rMS
167,167,iTBS,07-04-2022,4-2-1,24h-post,8,13.921691509321178,0,0.0221897258754338,0.4538070793170707,rMS
168,168,iTBS,07-04-2022,4-2-1,24h-post,9,7.208042738221063,2,0.0221897258754338,2.41207205544296,rMS
169,169,iTBS,07-04-2022,4-2-1,24h-post,10,27.69776871401845,5,0.0221897258754338,6.3685134305918485,rMS
170,170,iTBS,07-04-2022,4-2-1,24h-post,12,0.7871429325365371,1,0.0221897258754338,2.0446759240425147,rMS
171,171,iTBS,07-04-2022,4-2-1,24h-post,13,36.14078900995497,2,0.0221897258754338,19.25392678950404,rMS
172,172,iTBS,07-04-2022,4-2-1,24h-post,16,28.57538032449333,2,0.0221897258754338,2.767925058367702,rMS
173,173,iTBS,07-04-2022,4-2-1,24h-post,18,0.6469717062538218,2,0.0221897258754338,8.88455394568356,rMS
174,174,iTBS,07-04-2022,4-2-1,24h-post,19,16.586877186524788,2,0.0221897258754338,9.521383019488264,rMS
175,175,iTBS,07-04-2022,4-2-1,24h-post,21,1.083999370890715,5,0.0221897258754338,7.0434339409321325,rMS
176,176,iTBS,07-04-2022,4-2-1,24h-post,22,2.03538728107773,0,0.0221897258754338,9.59277615997857,rMS
177,177,iTBS,07-04-2022,4-2-1,24h-post,23,9.978189596656406,2,0.0221897258754338,2.928560560383396,rMS
178,178,iTBS,07-04-2022,4-2-1,24h-post,24,27.621050553614577,2,0.0221897258754338,14.964299226395816,rMS
179,179,iTBS,07-04-2022,4-2-1,24h-post,26,1.2640519730667306,1,0.0221897258754338,2.338034045317789,rMS
180,180,iTBS,07-04-2022,4-2-1,24h-post,28,9.714768935700942,0,0.0221897258754338,9.7147923806983,rMS
181,181,iTBS,07-04-2022,4-2-1,24h-post,30,16.106841024300614,2,0.0221897258754338,0.3933989708134557,rMS
182,182,iTBS,07-04-2022,4-2-1,24h-post,32,2.8070443395409903,1,0.0221897258754338,6.2239554587358725,rMS
183,183,iTBS,07-04-2022,4-2-1,24h-post,33,4.731182597893534,1,0.0221897258754338,2.932568006694799,rMS
184,184,iTBS,07-04-2022,4-2-1,24h-post,34,1.01788729414052,2,0.0221897258754338,6.7090207475192125,rMS
185,185,iTBS,07-04-2022,4-2-1,24h-post,35,3.925785193562676,3,0.0221897258754338,5.168059729151598,rMS
186,186,iTBS,07-04-2022,4-2-1,24h-post,36,0.8329381025177773,1,0.0221897258754338,1.9727298105341369,rMS
187,187,iTBS,07-04-2022,4-2-1,24h-post,37,15.600541980832515,3,0.0221897258754338,1.0788537691148363,rMS
188,188,iTBS,07-04-2022,4-2-1,24h-post,38,0.816696819181133,4,0.0221897258754338,0.4720546807703062,rMS
189,189,iTBS,07-04-2022,4-2-1,24h-post,41,3.400140691276336,1,0.0221897258754338,4.917531424142904,rMS
190,190,iTBS,07-04-2022,4-2-1,24h-post,44,13.49788722324877,1,0.0221897258754338,3.1577437418192646,rMS
191,191,iTBS,07-04-2022,4-2-1,24h-post,46,3.707783545044377,1,0.0221897258754338,4.278541313562387,rMS
192,192,iTBS,07-04-2022,4-2-1,24h-post,49,24.561905736369912,3,0.0221897258754338,16.929759366458235,rMS
193,193,iTBS,07-04-2022,4-2-1,24h-post,51,5.940861722266092,1,0.0221897258754338,3.618253738769897,rMS
194,194,iTBS,07-04-2022,4-2-1,24h-post,52,9.630520722351903,2,0.0221897258754338,3.770580661174455,rMS
195,195,iTBS,07-04-2022,4-2-1,24h-post,53,10.980082989443646,4,0.0221897258754338,1.0549177994437515,rMS
196,196,iTBS,07-04-2022,4-2-1,24h-post,55,5.42469844881259,2,0.0221897258754338,6.4517965764109935,rMS
197,197,iTBS,07-04-2022,4-2-1,24h-post,57,1.3903417217606742,2,0.0221897258754338,1.3819801037070416,rMS
198,198,iTBS,07-04-2022,4-2-1,24h-post,60,12.757719344134308,2,0.0221897258754338,7.186840400032127,rMS
199,199,iTBS,07-04-2022,4-2-1,24h-post,63,3.581811281407827,3,0.0221897258754338,6.5196627451454825,rMS
200,200,iTBS,07-04-2022,4-2-1,24h-post,66,9.463970397986207,4,0.0221897258754338,23.063441520631955,rMS
201,201,iTBS,07-04-2022,4-2-1,24h-post,67,20.256407992191,2,0.0221897258754338,7.178129877040577,rMS
202,202,iTBS,07-04-2022,4-2-1,24h-post,68,5.850035463417689,2,0.0221897258754338,3.3530438653464905,rMS
203,203,iTBS,07-04-2022,4-2-1,24h-post,69,9.422549638269468,1,0.0221897258754338,22.48673607565509,rMS
204,204,iTBS,07-04-2022,4-2-2,24h-post,1,6.703402375157449,6,0.0804995225718972,0.8088905128284383,rMS
205,205,iTBS,07-04-2022,4-2-2,24h-post,2,5.43847120631378,7,0.0804995225718972,1.0875506635879957,rMS
206,206,iTBS,07-04-2022,4-2-2,24h-post,3,4.064244565697958,7,0.0804995225718972,1.807969900520127,rMS
207,207,iTBS,07-04-2022,4-2-2,24h-post,4,1.1429191707887991,5,0.0804995225718972,4.57482885989129,rMS
208,208,iTBS,07-04-2022,4-2-2,24h-post,5,3.9688922549031993,6,0.0804995225718972,2.672575221697433,rMS
209,209,iTBS,07-04-2022,4-2-2,24h-post,6,4.860655157555933,6,0.0804995225718972,3.05405658441882,rMS
210,210,iTBS,07-04-2022,4-2-2,24h-post,7,0.7387846788790187,7,0.0804995225718972,3.1716328069364352,rMS
211,211,iTBS,07-04-2022,4-2-2,24h-post,8,4.565152536509913,7,0.0804995225718972,5.148628765813498,rMS
212,212,iTBS,07-04-2022,4-2-2,24h-post,9,1.2889933775718116,5,0.0804995225718972,6.629300568160069,rMS
213,213,iTBS,07-04-2022,4-2-2,24h-post,10,5.271032497875569,3,0.0804995225718972,1.6984770160864215,rMS
